Expriment 2-1, iteration 200k, temperature decrease from 300000, cooling rate:0.95 
SA, temperature, 124000, Evaluation Function, 3702.763133372599, time, 156
SA, temperature, 123000, Evaluation Function, 3708.2201389736524, time, 172
SA, temperature, 122000, Evaluation Function, 3595.6026379669515, time, 156
SA, temperature, 121000, Evaluation Function, 3533.78812142217, time, 156
SA, temperature, 120000, Evaluation Function, 3547.225502166739, time, 172
SA, temperature, 119000, Evaluation Function, 3567.354019397471, time, 172
SA, temperature, 118000, Evaluation Function, 3494.3604724081433, time, 156
SA, temperature, 117000, Evaluation Function, 3554.0353030875985, time, 156
SA, temperature, 116000, Evaluation Function, 3684.0398180159364, time, 172
SA, temperature, 115000, Evaluation Function, 3628.0833907723327, time, 171
SA, temperature, 114000, Evaluation Function, 3583.2550596428478, time, 156
SA, temperature, 113000, Evaluation Function, 3670.919232886091, time, 156
SA, temperature, 112000, Evaluation Function, 3547.043626944583, time, 156
SA, temperature, 111000, Evaluation Function, 3348.5192473089764, time, 171
SA, temperature, 110000, Evaluation Function, 3589.0564219621106, time, 156
SA, temperature, 109000, Evaluation Function, 3617.8729310862764, time, 156
SA, temperature, 108000, Evaluation Function, 3523.178150677762, time, 156
SA, temperature, 107000, Evaluation Function, 3529.608099897919, time, 172
SA, temperature, 106000, Evaluation Function, 3560.0065765872087, time, 172
SA, temperature, 105000, Evaluation Function, 3667.9529353195194, time, 172
SA, temperature, 104000, Evaluation Function, 3783.9080881100926, time, 203
SA, temperature, 103000, Evaluation Function, 3667.626121566845, time, 156
SA, temperature, 102000, Evaluation Function, 3673.98303869158, time, 156
SA, temperature, 101000, Evaluation Function, 3574.4424832829895, time, 188
SA, temperature, 100000, Evaluation Function, 3724.4785776593885, time, 172
SA, temperature, 99000, Evaluation Function, 3750.086731946589, time, 172
SA, temperature, 98000, Evaluation Function, 3578.98990832994, time, 156
SA, temperature, 97000, Evaluation Function, 3663.8549003359503, time, 156
SA, temperature, 96000, Evaluation Function, 3483.517438373085, time, 172
SA, temperature, 95000, Evaluation Function, 3706.8073768688832, time, 156
SA, temperature, 94000, Evaluation Function, 3392.8323549981296, time, 171
SA, temperature, 93000, Evaluation Function, 3697.9331350734246, time, 156
